,PartNo,trial,answer,a_payoff,a1,a2,a3,Group,State,R
1,251,1,A,2,1,4,6,16,5,1
2,251,2,B,-2,2,4,5,16,2,0
3,251,3,A,2,1,4,5,16,6,1
4,251,4,A,2,1,4,5,16,6,1
5,251,5,B,-2,2,3,6,16,3,0
6,251,6,A,2,1,3,6,16,7,1
7,251,7,B,-2,2,4,6,16,1,0
8,251,8,A,2,1,3,6,16,7,1
9,251,9,A,-2,2,4,5,16,2,1
10,251,10,A,-2,2,4,5,16,2,1
11,251,11,B,-2,2,4,5,16,2,0
12,251,12,A,-2,2,3,5,16,4,1
13,251,13,B,-2,2,3,6,16,3,0
14,251,14,B,-2,2,4,5,16,2,0
15,251,15,B,-2,2,4,6,16,1,0
16,251,16,B,-2,2,3,5,16,4,0
17,251,17,B,2,1,4,5,16,6,0
18,251,18,A,-2,2,4,6,16,1,1
19,251,19,A,2,1,3,6,16,7,1
20,251,20,B,2,1,4,6,16,5,0
21,251,21,A,-2,2,3,5,16,4,1
22,251,22,B,-2,2,3,6,16,3,0
23,251,23,A,-2,2,4,6,16,1,1
24,251,24,B,2,1,3,6,16,7,0
25,251,25,A,-2,2,4,5,16,2,1
26,251,26,B,2,1,3,5,16,8,0
27,251,27,B,-2,2,3,6,16,3,0
28,251,28,A,-2,2,4,5,16,2,1
29,251,29,B,2,1,3,6,16,7,0
30,251,30,A,2,1,4,6,16,5,1
31,251,31,A,-2,2,4,5,16,2,1
32,251,32,B,2,1,4,5,16,6,0
33,251,33,A,2,1,4,5,16,6,1
34,251,34,A,2,1,4,6,16,5,1
35,251,35,B,2,1,4,5,16,6,0
36,251,36,A,2,1,3,6,16,7,1
37,251,37,A,2,1,4,5,16,6,1
38,251,38,A,2,1,3,6,16,7,1
39,251,39,B,2,1,4,5,16,6,0
40,251,40,A,-2,2,3,6,16,3,1
41,251,41,B,-2,2,4,6,16,1,0
42,251,42,B,-2,2,3,6,16,3,0
43,251,43,B,-2,2,4,6,16,1,0
44,251,44,B,-2,2,4,6,16,1,0
45,251,45,A,2,1,4,6,16,5,1
46,251,46,A,-2,2,3,5,16,4,1
47,251,47,A,2,1,4,5,16,6,1
48,251,48,A,-2,2,4,6,16,1,1
49,251,49,A,-2,2,3,6,16,3,1
50,251,50,A,2,1,3,5,16,8,1
51,251,51,A,2,1,3,5,16,8,1
52,251,52,B,-2,2,3,5,16,4,0
53,251,53,A,-2,2,4,6,16,1,1
54,251,54,A,-2,2,4,5,16,2,1
55,251,55,A,-2,2,4,5,16,2,1
56,251,56,A,2,1,3,6,16,7,1
57,251,57,A,2,1,4,6,16,5,1
58,251,58,A,2,1,3,6,16,7,1
59,251,59,B,-2,2,4,5,16,2,0
60,251,60,B,2,1,4,6,16,5,0
61,251,61,A,-2,2,4,5,16,2,1
62,251,62,B,2,1,3,5,16,8,0
63,251,63,B,2,1,4,6,16,5,0
64,251,64,B,2,1,3,5,16,8,0
65,251,65,A,-2,2,3,6,16,3,1
66,251,66,A,2,1,3,6,16,7,1
67,251,67,A,-2,2,3,6,16,3,1
68,251,68,A,2,1,4,5,16,6,1
69,251,69,B,2,1,4,5,16,6,0
70,251,70,B,-2,2,3,5,16,4,0
71,251,71,A,2,1,4,5,16,6,1
72,251,72,A,-2,2,3,5,16,4,1
73,251,73,A,2,1,3,5,16,8,1
74,251,74,B,2,1,4,5,16,6,0
75,251,75,A,-2,2,3,6,16,3,1
76,251,76,A,-2,2,3,5,16,4,1
77,251,77,B,-20,1,3,5,16,8,0
78,251,78,A,2,1,3,5,16,8,1
79,251,79,B,2,1,4,5,16,6,0
80,251,80,B,-2,2,3,6,16,3,0
81,251,81,B,2,1,4,6,16,5,0
82,251,82,A,-2,2,3,6,16,3,1
83,251,83,B,-2,2,3,5,16,4,0
84,251,84,B,-2,2,4,6,16,1,0
85,251,85,B,-2,2,3,6,16,3,0
86,251,86,B,-2,2,4,5,16,2,0
87,251,87,B,-2,2,4,5,16,2,0
88,251,88,B,-2,2,4,6,16,1,0
89,251,89,B,-2,2,3,6,16,3,0
90,251,90,B,-2,2,4,6,16,1,0
91,251,91,A,-2,2,4,6,16,1,1
92,251,92,B,2,1,3,5,16,8,0
93,251,93,A,-2,2,3,5,16,4,1
94,251,94,B,2,1,3,6,16,7,0
95,251,95,A,-2,2,3,5,16,4,1
96,251,96,B,-2,2,3,5,16,4,0
97,251,97,B,2,1,4,6,16,5,0
98,251,98,A,2,1,3,5,16,8,1
